책이름,저자,출판사,출판일,가격,할인가,평점
마법천자문 63: 목표물에 가까이 다가가다! 접근,스튜디오 훈훈,아울북,2024-07-17,15800,14220,9.86
오케이 다시 한번 해볼게요,박여름,히읏,2024-08-19,16900,15210,10
총 균 쇠,재레드 다이아몬드,김영사,2023-05-11,29800,26820,9.79
포스 윙,레베카 야로스,북폴리오,2024-06-24,26000,23400,9.5
행복할 거야 이래도 되나 싶을 정도로,일홍,부크럼,2024-07-29,18000,16200,9.97
백설공주에게 죽음을,넬레 노이하우스,북로드,2024-05-24,17800,16020,10
도둑맞은 집중력(아이스 에디션),요한 하리,어크로스,2023-04-28,18800,16920,9.35
싯다르타,헤르만 헤세,민음사,2002-01-20,8000,7200,9.67
주술회전 26: 남쪽으로,Gege Akutami,서울미디어코믹스(서울문화사),2024-06-20,6000,5400,9.82
코스모스,칼 세이건,사이언스북스,2010-01-20,19900,17910,9.71
읽으면서 바로 써먹는 어린이 감정 표현,한날,파란정원,2024-05-05,13000,11700,9.85
무정형의 삶,김민철,위즈덤하우스,2024-07-10,20000,18000,10
해커스 일본어 첫걸음: 기초20일 독학 완성!,해커스 일본어연구소,해커스어학연구소,2022-01-17,13900,12510,9.73
채식주의자,한강,창비,2022-03-28,15000,13500,9.43
ETS 토익기출 파트별 VOCA,ETS,YBM,2022-12-23,13000,11700,9.91
여름을 한 입 베어 물었더니,이꽃님,문학동네,2023-08-18,12500,11250,9.73
주택청약의 모든 것(2024~2025),한국부동산원,한빛비즈,2024-07-29,18000,16200,10
놓지 마 과학! 19: 라면 먼저? 수프 먼저?,신태훈 외,위즈덤하우스,2024-06-26,14000,12600,9.8
일류의 조건,사이토 다카시,필름(Feelm),2024-03-20,19800,17820,9.6
니체 인생수업: 니체가 세상에 남긴 66가지 인생지혜,프리드리히 니체,하이스트,2024-03-22,17500,15750,9.93
두 사람의 인터내셔널,김기태,문학동네,2024-05-15,16800,15120,9.61
원씽(The One Thing)(60만 부 기념 스페셜 에디션),게리 켈러 외,비즈니스북스,2013-08-30,16800,15120,9.67
사피엔스,유발 하라리,김영사,2023-04-01,26800,24120,9.61
토익 단기공략 750+(LC+RC),ETS,YBM,2020-08-20,18000,16200,9.76
"신독, 혼자 있는 시간의 힘",조윤제,비즈니스북스,2024-07-19,17800,16020,10
소맥거핀 일상 만화 1,소맥거핀,위즈덤하우스,2024-07-31,14000,12600,10
원피스 108: 죽는 편이 나은 세계,EIICHIRO ODA,대원씨아이,2024-05-31,5500,4950,9.79
술술 읽히는 군주론,니콜로 마키아벨리,힘찬북스,2024-08-08,16800,15120,9.45
데미안,헤르만 헤세,민음사,2009-01-20,8000,7200,9.58
해커스 토익 RC Reading(리딩) 기본서,David Cho,해커스어학연구소,2023-07-24,18800,16920,9.78
이기적 유전자,리처드 도킨스,을유문화사,2023-01-30,20000,18000,9.59
히카루가 죽은 여름 4,모쿠모쿠 렌,디앤씨미디어,2024-07-20,6000,5400,9.55
지도로 보아야 보인다,에밀리 오브리 외,사이,2024-07-30,29800,26820,9.63
어떻게 극단적 소수가 다수를 지배하는가,스티븐 레비츠키 외,어크로스,2024-05-21,22000,19800,9.54
흐르는 강물처럼,셸리 리드,다산책방,2024-01-08,17000,15300,9.87
탕비실,이미예,한끼,2024-07-10,14000,12600,9.54
원칙으로 수익 내는 단타의 기술,원정연(만쥬),길벗,2024-05-31,22000,19800,9.51
퓨처 셀프,벤저민 하디,상상스퀘어,2023-08-30,19800,17820,9.53
캐릭온TV 허징의 수상한 만물상점 1,캐릭온TV,대원키즈,2024-07-18,14500,13050,10
부자 아빠 가난한 아빠 1(20주년 특별 기념판),로버트 기요사키,민음인,2022-10-28,17000,15300,9.65
이처럼 사소한 것들,클레어 키건,다산책방,2023-11-27,13800,12420,9.66
강인함의 힘,스티브 매그니스,상상스퀘어,2024-03-27,22000,19800,9.73
봇치ㆍ더ㆍ록! 앤솔러지 코믹 2,하마지 아키 외,대원씨아이,2024-07-31,9000,8100,0
말의 품격(7주년 기념 플라워 에디션),이기주,황소북스,2017-05-29,18500,16650,9.2
소맥거핀의 인체 친구들 1: 몸속 기관들의 대혼란,소맥거핀,위즈덤하우스,2024-07-31,14800,13320,9.67
마녀와의 7일,히가시노 게이고,현대문학,2024-06-25,18800,16920,9.8
빨간내복야코 3,빨간내복야코,샌드박스스토리,2024-06-21,15000,13500,9.74
말하지 않으면 인생은 바뀌지 않는다,샘 혼,서삼독,2024-05-16,20000,18000,9.37
3분 철학 3: 서양 현대 철학편,김재훈 외,카시오페아,2022-05-09,16800,15120,9.73
말하기 고수들만 아는 대화의 기술,기류 미노루,더페이지,2024-08-20,18800,16920,9.81
불안,알랭 드 보통,은행나무,2012-01-04,15000,13500,9.55
하루 한 장 초등 경제 신문,윤지선 외,매경주니어북스,2024-07-03,18000,16200,9.86
달리기를 말할 때 내가 하고 싶은 이야기,무라카미 하루키,문학사상,2016-12-15,14500,13050,9.69
꽃을 보듯 너를 본다,나태주,지혜,2020-11-30,11000,9900,9.65
대저택의 어둠을 부르는 책,집사TV,서울문화사,2024-06-28,14000,12600,10
행동력 수업,오현호,스카이마인드,2024-07-10,19800,17820,10
세상의 마지막 기차역(리커버 에디션),무라세 다케시,모모,2022-05-09,14000,12600,9.66
버리는 기쁨 다시 찾은 행복,마스노 슌묘,지니의서재,2024-08-21,17800,16020,10
이상한 과자 가게 전천당: 마네키네코 도감,히로시마 레이코,길벗스쿨,2024-07-29,15000,13500,9.74
대화의 힘,찰스 두히그,갤리온,2024-06-25,19000,17100,9.8
읽으면서 바로 써먹는 어린이 세계 여행,한날,파란정원,2024-01-05,13000,11700,9.83
사피엔스 그래픽 히스토리 3: 역사의 배후,유발 하라리,김영사,2024-04-19,19800,17820,10
원펀맨 30,ONE,대원씨아이,2024-08-31,5500,4950,9.62
저는 브랜딩을 하는 사람입니다,허준,필름(Feelm),2024-05-22,18500,16650,9.23
who? special 이강인,이혜원,다산어린이,2024-06-28,15000,13500,9.68
임신 출산 육아 대백과(2024-2025),삼성출판사 편집부,삼성출판사,2024-07-15,19500,17550,10
옐언니 3,옐언니,아울북,2024-07-24,15800,14220,10
늪 100층짜리 집,이와이 도시오,북뱅크,2024-05-03,15000,13500,9.73
흔한남매 과학 탐험대 10: 생태계,흔한남매,주니어김영사,2024-05-22,14800,13320,9.9
파친코(합본 한정판),이민진,인플루엔셜,2023-12-20,27000,24300,9.62
언젠가 우리가 같은 별을 바라본다면,차인표,해결책,2021-12-15,12000,10800,9.87
괴수 8호 side B 1,Naoya Matsumoto 외,서울미디어코믹스(서울문화사),2024-07-25,6000,5400,9.83
설민석의 삼국지 대모험 18: 적벽대전 1.전쟁의 시작,단꿈아이,단꿈아이,2024-07-29,12000,10800,9.81
타키 포오 탐정 사무소 1: 프랑스 파리에 나타난 괴도 물음표,캐릭온TV,대원키즈,2024-06-27,14500,13050,9.74
정브르의 별별 곤충 일기,정브르,서울문화사,2024-07-31,13000,11700,10
한 권으로 끝내는 해커스 토익 700+(LC+RC+VOCA),해커스 어학연구소,해커스어학연구소,2023-07-03,19800,17820,9.82
백앤아 6: 저주 걸린 장난감 가게,백앤아 외,샌드박스네트워크,2024-05-29,16800,15120,9.86
"꽃길이 따로 있나, 내 삶이 꽃인 것을",오평선,포레스트북스,2024-03-22,16800,15120,9.68
노르웨이의 숲,무라카미 하루키,민음사,2017-08-07,17000,15300,9.34
타이탄의 도구들(블랙 에디션),팀 페리스,토네이도,2022-06-20,18000,16200,9.6
네가 유성처럼 스러지는 모습을 지켜볼 운명이었다,미나토 쇼,필름(Feelm),2024-07-17,18000,16200,9.78
힐빌리의 노래,J. D.밴스,흐름출판,2017-09-04,17800,16020,9.31
해커스 토익 LC Listening(리스닝) 기본서,David Cho,해커스어학연구소,2023-07-24,18800,16920,9.84
프리드리히 니체 아포리즘 : 혼자일 수 없다면 나아갈 수 없다,프리드리히 니체,포레스트북스,2024-03-14,17500,15750,8.83
사랑과 결함,예소연,문학동네,2024-07-26,16500,14850,10
종의 기원,정유정,은행나무,2016-05-16,16800,15120,9.34
이동 평균선 투자법,고지로 강사,이레미디어,2024-05-03,17000,15300,9.52
김장환 목사 평전,신성욱,미래사,2024-07-25,39000,35100,10
최소한의 한국사,최태성,프런트페이지,2023-06-21,18000,16200,9.7
뚜식이 5,뚜식이,서울문화사,2024-06-25,12000,10800,9.86
"의사 어벤저스 19: 근육 질환, 더 단단해져라!",고희정,가나출판사,2024-08-20,14800,13320,10
who? special 김민재,스토리랩,다산어린이,2024-06-27,15000,13500,9.77
장송의 프리렌 12,Kanehito YAMADA,학산문화사,2024-07-25,6000,5400,9.65
왕구리네 떡집,김리리,비룡소,2024-06-12,13000,11700,9.93
만일 내가 그때 내 말을 들어줬더라면,나종호,다산북스,2024-07-25,18000,16200,9.74
아주 세속적인 지혜,발타자르 그라시안,페이지2북스,2023-03-24,13500,12150,9.67
파과,구병모,위즈덤하우스,2018-04-16,15800,14220,9.72
예약판매불안의 서,페르난두 페소아,봄날의책,2014-05-15,28000,25200,9.81
불편한 편의점 2(단풍 에디션),김호연,나무옆의자,2022-08-10,14000,12600,9.74
회색 인간,김동식,요다,2017-12-27,13000,11700,9.55
긴긴밤,루리,문학동네,2021-02-03,11500,10350,9.84
부모의 어휘력,김종원,카시오페아,2024-06-17,19000,17100,9.8
초등 첫 문해력 신문,이다희,아울북,2024-07-17,19800,17820,10
부자의 공부법,이지영 외,나비의활주로,2024-08-14,18800,16920,9.88
해커스 보카(Hackers Vocabulary),David Cho,해커스어학연구소,2021-12-13,16900,15210,9.45
세계를 움직인 열 가지 프레임,수바드라 다스,북하우스,2024-06-07,20000,18000,9.03
지적 대화를 위한 넓고 얕은 지식 1,채사장,웨일북(whalebooks),2020-02-05,16000,14400,9.53
삼체 1: 삼체문제,류츠신,자음과모음,2022-02-15,17000,15300,9.65
해독 혁명,닥터 라이블리(최지영),웅진지식하우스,2024-06-30,18500,16650,9.81
오백 년째 열다섯 3: 두 개의 구슬,김혜정,위즈덤하우스,2024-05-27,14000,12600,10
데일 카네기 자기관리론(국내최초 초판 무삭제 완역본),데일 카네기,현대지성,2021-01-13,11500,10350,9.79
바다 100층짜리 집,이와이 도시오,북뱅크,2014-09-25,11000,9900,9.68
나는 나의 스무 살을 가장 존중한다,이하영,토네이도,2024-02-28,18000,16200,9.61
반딧불이의 혼례 2,Oreco TACHIBANA,서울미디어코믹스(서울문화사),2024-06-30,8500,7650,9.77
나를 위해 살지 않으면 남을 위해 살게 된다,에픽테토스,페이지2북스,2024-07-17,13800,12420,9.81
진짜 쓰는 실무 엑셀,오빠두(전진권),제이펍,2022-02-15,21000,18900,9.64
음악소설집,김애란 외,프란츠,2024-07-01,18000,16200,9.57
퀸의 대각선 1,베르나르 베르베르,열린책들,2024-06-25,16800,15120,9.53
가면 수집가(하),잠뜰TV,서울문화사,2024-07-30,13000,11700,9.55
말량&홍챠 인피니티 2: 배드랜드 대모험,말량&홍챠,다산어린이,2024-07-29,14000,12600,10
아무도 늙지 않는 세상,라정찬,쌤앤파커스,2023-12-25,18000,16200,9.66
보편의 단어,이기주,말글터,2024-01-11,16000,14400,9.55
달러구트 꿈 백화점,이미예,팩토리나인,2020-07-08,13800,12420,9.49
내장비만,이왕림,포레스트북스,2024-07-10,18800,16920,9.33
전설의 프로 트레이더 빅,빅터 스페란데오 외,액티브,2024-08-20,25000,22500,8.89
용의자 X의 헌신,히가시노 게이고,재인,2017-08-30,18800,16920,9.67
ETS 토익 단기공략 850+(LC+RC),ETS,YBM,2022-06-30,19500,17550,9.7
착! 붙는 일본어 독학 첫걸음,일본어 공부기술연구소,시사일본어사,2024-03-25,16800,15120,9.68
읽는 기도,무명의 기도자,더하트,2024-05-23,5500,4950,9.81
이방인,알베르 카뮈,민음사,2019-09-02,10000,9000,9.74
LLM을 활용한 실전 AI 애플리케이션 개발,허정준,책만,2024-07-25,32000,28800,10
남에게 보여주려고 인생을 낭비하지 마라,쇼펜하우어,페이지2북스,2023-10-30,17500,15750,9.01
타키 포오 코믹 어드벤처 6,캐릭온TV,대원키즈,2024-08-15,14500,13050,10
